parameter,mean,median,mode,hpd_min,hpd_max,method,repressors,operator,IPTGuM,pred_bohr
fc_mu,0.9768627897849017,0.9798254693487377,0.9720291104435631,0.9455219022270267,0.9999689233312897,flow cytometry,22.0,O2,5000.0,4.935980867508934
fc_sigma,0.07123593506732381,0.06779841395072897,0.06550031708686271,0.04108868365083468,0.10764474882046637,flow cytometry,22.0,O2,5000.0,4.935980867508934
delta_bohr,-0.8390329347097529,-1.0530273542095474,-1.387759425137486,-2.5248320600574665,1.2239191116821795,flow cytometry,22.0,O2,5000.0,4.935980867508934
empirical_bohr,2.7722434206574254,2.6304822961534833,2.4992435984247443,1.6121002779091351,4.035049398058097,flow cytometry,22.0,O3,0.0,2.5615721529496014
fc_mu,0.9319308288726146,0.9327977889390766,0.9240887764021375,0.8796935341994252,0.9999298409797971,flow cytometry,22.0,O3,0.0,2.5615721529496014
fc_sigma,0.08974501908741399,0.08535501195437108,0.07820921486099038,0.04934509956661123,0.13943879193805458,flow cytometry,22.0,O3,0.0,2.5615721529496014
delta_bohr,0.21067126770781328,0.06891014320388189,-0.06232855452485708,-0.9494718750404663,1.4734772451084952,flow cytometry,22.0,O3,0.0,2.5615721529496014
empirical_bohr,2.6948668860397196,2.6371405966569936,2.5905223717569026,1.9816373412033088,3.4592351872480624,flow cytometry,22.0,O3,0.1,2.5660768285843005
fc_mu,0.9331054601586849,0.9332139708260444,0.9302491191968594,0.891403475409502,0.9751285356530993,flow cytometry,22.0,O3,0.1,2.5660768285843005
fc_sigma,0.057320558716925006,0.05363696320446194,0.04776833724963255,0.030029629022295366,0.09344254754268186,flow cytometry,22.0,O3,0.1,2.5660768285843005
delta_bohr,0.12879005745541178,0.07106376807269288,0.024445543172602058,-0.5844394873809917,0.8931583586637619,flow cytometry,22.0,O3,0.1,2.5660768285843005
empirical_bohr,3.7993616852497385,3.6700899293100457,3.5383794974774174,2.7692733469986224,5.106866943015913,flow cytometry,22.0,O3,1.0,2.6378572110516156
fc_mu,0.9745489944824763,0.9751586342352945,0.9717602757878955,0.9520936896590101,0.9979265072602832,flow cytometry,22.0,O3,1.0,2.6378572110516156
fc_sigma,0.034849999688549835,0.03254425093895123,0.02944475364954606,0.01780482328262054,0.057588102404338135,flow cytometry,22.0,O3,1.0,2.6378572110516156
delta_bohr,1.1615044741981242,1.0322327182584303,0.9005222864258018,0.13141613594700674,2.469009731964297,flow cytometry,22.0,O3,1.0,2.6378572110516156
empirical_bohr,4.422907851704298,4.285523971184357,4.152185595882431,3.378493014456589,5.798009922497272,flow cytometry,22.0,O3,5.0,3.305180891367643
fc_mu,0.9860704392322668,0.9864205338858831,0.9845136015733319,0.9742655219580777,0.9998312596102492,flow cytometry,22.0,O3,5.0,3.305180891367643
fc_sigma,0.020164114057954735,0.018760420579075225,0.017028111981972453,0.010174725027450381,0.03331449027441107,flow cytometry,22.0,O3,5.0,3.305180891367643
delta_bohr,1.1177269603366475,0.9803430798167145,0.8470047045147879,0.07331212308894619,2.492829031129629,flow cytometry,22.0,O3,5.0,3.305180891367643
empirical_bohr,4.5341858819015455,4.3347067950500655,4.060943967109242,2.9602960046079896,6.640041836032685,flow cytometry,22.0,O3,10.0,4.122520172810196
fc_mu,0.9850631315209352,0.9870638214517083,0.9830591923156203,0.9652503678284983,0.9999792565745586,flow cytometry,22.0,O3,10.0,4.122520172810196
fc_sigma,0.037652158925319465,0.034680896889811366,0.03232986714190595,0.01922982386713243,0.06435117459843022,flow cytometry,22.0,O3,10.0,4.122520172810196
delta_bohr,0.41166570909135025,0.2121866222398694,-0.06157620570095368,-1.1622241682022065,2.517521663222489,flow cytometry,22.0,O3,10.0,4.122520172810196
empirical_bohr,4.178642029547394,4.00579672912014,3.8160223368733597,2.8102063975172245,5.8142730805516925,flow cytometry,22.0,O3,25.0,5.521801549638978
fc_mu,0.9809713865948761,0.9821158903873628,0.9784590326206096,0.9611400802058796,0.9999789973149398,flow cytometry,22.0,O3,25.0,5.521801549638978
fc_sigma,0.035936364354508685,0.033493208688987613,0.03064592177858723,0.018655137928499085,0.05873058407483671,flow cytometry,22.0,O3,25.0,5.521801549638978
delta_bohr,-1.3431595200915811,-1.516004820518837,-1.7057792127656182,-2.7115951521217534,0.2924715309127146,flow cytometry,22.0,O3,25.0,5.521801549638978
empirical_bohr,4.385571883369192,4.165508905100705,3.8286769599891244,2.5539202412501143,6.7333176670597075,flow cytometry,22.0,O3,50.0,6.569012954692313
fc_mu,0.9809474716401237,0.9847154304451625,0.9787241448135582,0.950469597110572,0.9999949698479539,flow cytometry,22.0,O3,50.0,6.569012954692313
fc_sigma,0.06657908728057177,0.06248986940998942,0.05959837716023873,0.03515025441500678,0.1090282018948021,flow cytometry,22.0,O3,50.0,6.569012954692313
delta_bohr,-2.183441071323141,-2.403504049591608,-2.7403359947031882,-4.015092713442199,0.16430471236739486,flow cytometry,22.0,O3,50.0,6.569012954692313
empirical_bohr,5.902873053468409,5.697594273105771,5.357153089425968,3.57931217159947,8.526704295777046,flow cytometry,22.0,O3,75.0,7.116787805145765
fc_mu,0.9949629084948223,0.9966571872442191,0.9953078121844936,0.9840970345057939,0.9999996528719642,flow cytometry,22.0,O3,75.0,7.116787805145765
fc_sigma,0.0296410967239002,0.02730400983571605,0.026217160080550743,0.014391242923386264,0.05022668594014285,flow cytometry,22.0,O3,75.0,7.116787805145765
delta_bohr,-1.2139147516773472,-1.4191935320399929,-1.7596347157197965,-3.5374756335462947,1.4099164906312813,flow cytometry,22.0,O3,75.0,7.116787805145765
empirical_bohr,3.1126044728218827,2.951441341601474,2.7152308084950527,1.7700770507375916,4.913463000647957,flow cytometry,22.0,O3,100.0,7.46458380705871
fc_mu,0.9462614385171504,0.9503315660639103,0.9379194192999517,0.885492337542756,0.9990027411631648,flow cytometry,22.0,O3,100.0,7.46458380705871
fc_sigma,0.10990682802258898,0.1050018645446752,0.10050005668670511,0.06268597663950802,0.16535210828866193,flow cytometry,22.0,O3,100.0,7.46458380705871
delta_bohr,-4.351979334236818,-4.513142465457236,-4.749352998563657,-5.694506756321118,-2.5511208064107525,flow cytometry,22.0,O3,100.0,7.46458380705871
empirical_bohr,4.743393977304831,4.532291837554411,4.246144146100835,3.020056385704591,6.850868076570661,flow cytometry,22.0,O3,250.0,8.312377713478764
fc_mu,0.9874805930483131,0.989358463526495,0.9858828079997055,0.9696206036266216,0.9999979147003528,flow cytometry,22.0,O3,250.0,8.312377713478764
fc_sigma,0.03405829903576268,0.031606307451336975,0.02968322922780773,0.017398484394982733,0.057242385170534725,flow cytometry,22.0,O3,250.0,8.312377713478764
delta_bohr,-3.568983736173929,-3.7800858759243536,-4.066233567377929,-5.292321327774173,-1.4615096369081026,flow cytometry,22.0,O3,250.0,8.312377713478764
empirical_bohr,5.08710096237722,4.88104498543734,4.570452879002193,3.225422736190153,7.432087770657452,flow cytometry,22.0,O3,500.0,8.70288570281986
fc_mu,0.9905280711347101,0.9924680808275235,0.9897528219229145,0.9755640681241547,0.9999953738743528,flow cytometry,22.0,O3,500.0,8.70288570281986
fc_sigma,0.03172950978311054,0.029351759638855116,0.02747791138161267,0.014904992163043187,0.0524971657964672,flow cytometry,22.0,O3,500.0,8.70288570281986
